Tree map for parameter file C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-FRPIJE.xml
Species	Type	X	Y	Height	Diam10	Light	Growth	DBH	Crown Radius	Crown Depth	dead
ABCO	Adult	205.23	143.85	--	--	--	--	3.41	--	--	--
ABCO	Adult	216.22	240.44	--	--	--	--	75.83	--	--	--
ABCO	Adult	131.68	286.94	--	--	--	--	18.92	--	--	--
ABCO	Adult	64.06	70.02	--	--	--	--	30.99	--	--	--
ABCO	Adult	167.83	76.71	--	--	--	--	452.59	--	--	--
ABCO	Adult	246.78	161.09	--	--	--	--	4.45	--	--	--
ABCO	Adult	85.23	166.11	--	--	--	--	12.55	--	--	--
ABCO	Adult	66.92	133.6	--	--	--	--	160.84	--	--	--
ABCO	Adult	37.91	106.92	--	--	--	--	81.98	--	--	--
ABCO	Adult	43.37	251.76	--	--	--	--	26.08	--	--	--
ABCO	Adult	277.86	250.46	--	--	--	--	2.74	--	--	--
ABCO	Adult	58.88	227.31	--	--	--	--	0.84	--	--	--
ABCO	Adult	251.47	238.56	--	--	--	--	72.77	--	--	--
ABCO	Adult	77.27	198.01	--	--	--	--	23.5	--	--	--
ABCO	Adult	217.88	20.91	--	--	--	--	18.18	--	--	--
CADE	Adult	116.04	51.18	--	--	--	--	5.84	--	--	--
CADE	Adult	163.07	176.44	--	--	--	--	1.75	--	--	--
CADE	Adult	165.03	292.92	--	--	--	--	4.98	--	--	--
CADE	Adult	136.65	96.82	--	--	--	--	0.51	--	--	--
CADE	Adult	57.83	88.94	--	--	--	--	8.29	--	--	--
CADE	Adult	25.8	262.06	--	--	--	--	1.54	--	--	--
CADE	Adult	53.54	178.92	--	--	--	--	0.14	--	--	--
CADE	Adult	49.45	133.85	--	--	--	--	0.74	--	--	--
CADE	Adult	153.56	251.66	--	--	--	--	2.99	--	--	--
CADE	Adult	108.34	154.96	--	--	--	--	0.6	--	--	--
CADE	Adult	239.5	208.78	--	--	--	--	0.43	--	--	--
CADE	Adult	95.33	69.68	--	--	--	--	7.91	--	--	--
CADE	Adult	75.4	91.73	--	--	--	--	0.22	--	--	--
CADE	Adult	249.85	205.6	--	--	--	--	0.55	--	--	--
CADE	Adult	26.9	279.27	--	--	--	--	0.57	--	--	--
CADE	Adult	144.95	199.1	--	--	--	--	3.89	--	--	--
CADE	Adult	159.82	74.22	--	--	--	--	0.38	--	--	--
CADE	Adult	244.75	210.62	--	--	--	--	0.73	--	--	--
CADE	Adult	53.84	250.61	--	--	--	--	2.55	--	--	--
CADE	Adult	282.26	292.83	--	--	--	--	0.74	--	--	--
CADE	Adult	81.78	119.83	--	--	--	--	3.79	--	--	--
CADE	Adult	13.82	159.14	--	--	--	--	2.11	--	--	--
CADE	Adult	15.01	264.45	--	--	--	--	2.16	--	--	--
PIJE	Adult	9.63	281.57	--	--	--	--	194.57	--	--	--
PIJE	Adult	22.09	288.52	--	--	--	--	71.66	--	--	--
PIJE	Adult	286.44	177.14	--	--	--	--	56.0	--	--	--
PIJE	Adult	199.17	228.0	--	--	--	--	1.61	--	--	--
PIJE	Adult	108.26	271.91	--	--	--	--	30.72	--	--	--
PIJE	Adult	177.23	110.11	--	--	--	--	7.01	--	--	--
PIJE	Adult	213.72	44.12	--	--	--	--	49.92	--	--	--
PIJE	Adult	266.86	207.22	--	--	--	--	7.01	--	--	--
PIJE	Adult	154.16	92.19	--	--	--	--	2.79	--	--	--
PIJE	Adult	85.55	89.84	--	--	--	--	1.66	--	--	--
PIJE	Adult	275.97	91.98	--	--	--	--	10.64	--	--	--
PIJE	Adult	144.47	141.62	--	--	--	--	44.69	--	--	--
PIJE	Adult	117.37	87.27	--	--	--	--	28.13	--	--	--
PIJE	Adult	154.15	298.06	--	--	--	--	11.35	--	--	--
PIJE	Adult	219.11	103.53	--	--	--	--	29.88	--	--	--
PIJE	Adult	27.9	235.57	--	--	--	--	86.97	--	--	--
PIJE	Adult	3.98	127.07	--	--	--	--	32.84	--	--	--
PIJE	Adult	127.09	162.47	--	--	--	--	23.41	--	--	--
PIJE	Adult	203.5	245.67	--	--	--	--	2.34	--	--	--
PIJE	Adult	223.87	204.67	--	--	--	--	14.77	--	--	--
PIJE	Adult	132.17	78.22	--	--	--	--	4.08	--	--	--
PIJE	Adult	217.42	176.68	--	--	--	--	8.77	--	--	--
PIJE	Adult	259.03	155.74	--	--	--	--	3.73	--	--	--
PIJE	Adult	207.91	219.73	--	--	--	--	6.86	--	--	--
PIJE	Adult	136.16	168.72	--	--	--	--	26.17	--	--	--
PIJE	Adult	189.48	89.44	--	--	--	--	38.53	--	--	--
PIJE	Adult	14.71	257.3	--	--	--	--	13.99	--	--	--
PIJE	Adult	243.92	215.08	--	--	--	--	49.37	--	--	--
PIJE	Adult	16.39	100.6	--	--	--	--	28.03	--	--	--
PIJE	Adult	18.39	195.54	--	--	--	--	15.22	--	--	--
PIJE	Adult	230.02	48.52	--	--	--	--	102.71	--	--	--
PIJE	Adult	69.47	111.6	--	--	--	--	98.7	--	--	--
PIJE	Adult	113.24	147.8	--	--	--	--	20.19	--	--	--
PIJE	Adult	220.25	266.45	--	--	--	--	278.71	--	--	--
PIJE	Adult	268.8	226.37	--	--	--	--	12.44	--	--	--
PIJE	Adult	195.36	282.26	--	--	--	--	12.36	--	--	--
PIJE	Adult	132.91	107.07	--	--	--	--	1.92	--	--	--
PIJE	Adult	129.63	112.81	--	--	--	--	26.21	--	--	--
PIJE	Adult	210.42	158.88	--	--	--	--	15.18	--	--	--
PIJE	Adult	121.93	136.08	--	--	--	--	28.57	--	--	--
PIJE	Adult	98.74	251.44	--	--	--	--	13.88	--	--	--
PIJE	Adult	74.75	202.83	--	--	--	--	15.07	--	--	--
PIJE	Adult	292.19	72.64	--	--	--	--	11.27	--	--	--
PIJE	Adult	44.32	53.27	--	--	--	--	6.99	--	--	--
PIJE	Adult	296.2	119.98	--	--	--	--	10.66	--	--	--
PIJE	Adult	169.55	166.69	--	--	--	--	16.77	--	--	--
PIJE	Adult	257.67	152.59	--	--	--	--	7.24	--	--	--
PIJE	Adult	201.35	101.88	--	--	--	--	14.18	--	--	--
PIJE	Adult	205.83	225.59	--	--	--	--	12.09	--	--	--
PIJE	Adult	63.44	233.79	--	--	--	--	4.66	--	--	--
PIJE	Adult	267.25	282.27	--	--	--	--	100.03	--	--	--
PIJE	Adult	212.75	106.56	--	--	--	--	7.31	--	--	--
PIJE	Adult	278.06	114.18	--	--	--	--	18.02	--	--	--
PIJE	Adult	275.34	291.71	--	--	--	--	12.42	--	--	--
PIJE	Adult	257.67	129.35	--	--	--	--	68.85	--	--	--
PIJE	Adult	63.42	170.12	--	--	--	--	2.91	--	--	--
PIJE	Adult	69.77	205.09	--	--	--	--	4.31	--	--	--
PIJE	Adult	93.14	279.47	--	--	--	--	18.7	--	--	--
PIJE	Adult	192.83	216.9	--	--	--	--	60.65	--	--	--
PIJE	Adult	218.87	36.77	--	--	--	--	10.22	--	--	--
PIJE	Adult	149.24	251.95	--	--	--	--	11.67	--	--	--
PIJE	Adult	92.05	67.08	--	--	--	--	24.75	--	--	--
PIJE	Adult	268.45	13.56	--	--	--	--	27.08	--	--	--
PIJE	Adult	24.41	288.49	--	--	--	--	31.65	--	--	--
PIJE	Adult	214.53	91.65	--	--	--	--	10.69	--	--	--
PIJE	Adult	124.41	245.16	--	--	--	--	1.29	--	--	--
PIJE	Adult	78.04	215.59	--	--	--	--	16.91	--	--	--
PIJE	Adult	279.92	50.68	--	--	--	--	2.88	--	--	--
PIJE	Adult	144.39	205.64	--	--	--	--	14.16	--	--	--
PIJE	Adult	295.19	63.88	--	--	--	--	12.23	--	--	--
PIJE	Adult	13.94	227.65	--	--	--	--	4.5	--	--	--
PIJE	Adult	76.0	126.59	--	--	--	--	6.26	--	--	--
PIJE	Adult	245.73	165.58	--	--	--	--	34.93	--	--	--
PIJE	Adult	145.99	279.01	--	--	--	--	6.05	--	--	--
PIJE	Adult	104.97	276.48	--	--	--	--	10.12	--	--	--
PIJE	Adult	6.33	179.42	--	--	--	--	10.6	--	--	--
PIJE	Adult	298.47	109.24	--	--	--	--	9.04	--	--	--
PIJE	Adult	83.41	169.32	--	--	--	--	7.86	--	--	--
PIJE	Adult	195.46	175.23	--	--	--	--	1.53	--	--	--
PIJE	Adult	142.85	181.75	--	--	--	--	7.13	--	--	--
PIJE	Adult	160.43	99.04	--	--	--	--	68.87	--	--	--
PIJE	Adult	65.45	176.27	--	--	--	--	21.58	--	--	--
PIJE	Adult	250.36	69.11	--	--	--	--	52.99	--	--	--
PIJE	Adult	205.62	251.23	--	--	--	--	7.96	--	--	--
PIJE	Adult	187.06	257.34	--	--	--	--	7.41	--	--	--
PIJE	Adult	232.04	147.99	--	--	--	--	23.87	--	--	--
PIJE	Adult	263.42	149.67	--	--	--	--	5.26	--	--	--
PIJE	Adult	166.82	202.6	--	--	--	--	13.28	--	--	--
PIJE	Adult	210.21	156.68	--	--	--	--	15.59	--	--	--
PIJE	Adult	6.21	282.67	--	--	--	--	3.9	--	--	--
PIJE	Adult	54.25	53.37	--	--	--	--	14.55	--	--	--
PIJE	Adult	170.99	64.14	--	--	--	--	15.81	--	--	--
PIJE	Adult	252.06	9.32	--	--	--	--	7.51	--	--	--
PIJE	Adult	274.27	143.02	--	--	--	--	12.38	--	--	--
PIJE	Adult	3.43	218.46	--	--	--	--	50.01	--	--	--
PIJE	Adult	21.53	52.31	--	--	--	--	14.97	--	--	--
PIJE	Adult	55.81	165.31	--	--	--	--	12.79	--	--	--
PIJE	Adult	9.22	248.26	--	--	--	--	14.07	--	--	--
PIJE	Adult	59.37	217.92	--	--	--	--	7.39	--	--	--
PIJE	Adult	223.81	280.48	--	--	--	--	18.33	--	--	--
PIJE	Adult	30.12	166.07	--	--	--	--	116.01	--	--	--
PIJE	Adult	94.43	181.0	--	--	--	--	13.38	--	--	--
PIJE	Adult	24.24	270.42	--	--	--	--	15.66	--	--	--
PIJE	Adult	38.54	155.53	--	--	--	--	10.81	--	--	--
PIJE	Adult	218.36	125.18	--	--	--	--	7.26	--	--	--
PIJE	Adult	254.1	78.91	--	--	--	--	176.3	--	--	--
PIJE	Adult	216.12	165.44	--	--	--	--	2.45	--	--	--
PIJE	Adult	104.59	214.95	--	--	--	--	21.31	--	--	--
PIJE	Adult	144.13	261.56	--	--	--	--	14.18	--	--	--
PIJE	Adult	165.38	137.12	--	--	--	--	18.43	--	--	--
PIJE	Adult	264.28	177.29	--	--	--	--	19.13	--	--	--
PIJE	Adult	169.04	165.57	--	--	--	--	10.49	--	--	--
PIJE	Adult	274.87	134.92	--	--	--	--	36.94	--	--	--
PIJE	Adult	44.97	150.47	--	--	--	--	43.96	--	--	--
PIJE	Adult	289.2	151.36	--	--	--	--	42.84	--	--	--
PIJE	Adult	101.73	276.6	--	--	--	--	44.96	--	--	--
PIJE	Adult	288.97	176.42	--	--	--	--	17.94	--	--	--
PIJE	Adult	91.04	174.04	--	--	--	--	11.55	--	--	--
PIJE	Adult	62.08	213.03	--	--	--	--	2.49	--	--	--
PIJE	Adult	200.79	123.56	--	--	--	--	45.45	--	--	--
PIJE	Adult	281.26	112.5	--	--	--	--	19.27	--	--	--
PIJE	Adult	174.24	157.39	--	--	--	--	40.12	--	--	--
PIJE	Adult	110.9	105.56	--	--	--	--	25.0	--	--	--
PIJE	Adult	256.99	123.59	--	--	--	--	31.53	--	--	--
PIJE	Adult	174.78	129.45	--	--	--	--	11.63	--	--	--
PIJE	Adult	148.76	122.55	--	--	--	--	1.23	--	--	--
PIJE	Adult	128.29	93.82	--	--	--	--	1.16	--	--	--
PIJE	Adult	44.31	152.56	--	--	--	--	0.94	--	--	--
PIJE	Adult	208.5	156.11	--	--	--	--	10.09	--	--	--
PIJE	Adult	157.09	252.97	--	--	--	--	11.1	--	--	--
PIJE	Adult	283.65	21.08	--	--	--	--	153.67	--	--	--
PIJE	Adult	237.76	190.1	--	--	--	--	83.72	--	--	--
PIJE	Adult	8.98	68.75	--	--	--	--	5.57	--	--	--
PIJE	Adult	177.6	187.33	--	--	--	--	7.09	--	--	--
PIJE	Adult	230.4	224.12	--	--	--	--	15.53	--	--	--
PIJE	Adult	55.19	223.1	--	--	--	--	97.0	--	--	--
PIJE	Adult	267.27	120.83	--	--	--	--	73.15	--	--	--
PIJE	Adult	6.01	133.59	--	--	--	--	9.77	--	--	--
PIJE	Adult	60.55	52.43	--	--	--	--	6.63	--	--	--
PIJE	Adult	275.73	145.84	--	--	--	--	0.85	--	--	--
PIJE	Adult	60.79	189.88	--	--	--	--	18.49	--	--	--
PIJE	Adult	190.33	126.75	--	--	--	--	19.21	--	--	--
PIJE	Adult	65.07	218.49	--	--	--	--	14.22	--	--	--
PIJE	Adult	241.96	8.67	--	--	--	--	6.39	--	--	--
PIJE	Adult	52.35	230.41	--	--	--	--	5.76	--	--	--
PIJE	Adult	189.2	99.52	--	--	--	--	99.24	--	--	--
PIJE	Adult	221.67	39.2	--	--	--	--	12.99	--	--	--
PIJE	Adult	76.66	103.98	--	--	--	--	3.36	--	--	--
PIJE	Adult	220.6	76.19	--	--	--	--	30.62	--	--	--
PIJE	Adult	221.45	182.45	--	--	--	--	8.16	--	--	--
PIJE	Adult	217.26	51.44	--	--	--	--	1.4	--	--	--
PIJE	Adult	226.76	247.68	--	--	--	--	12.26	--	--	--
PIJE	Adult	22.74	209.28	--	--	--	--	11.54	--	--	--
PIJE	Adult	206.96	189.6	--	--	--	--	2.66	--	--	--
PIJE	Adult	154.85	168.35	--	--	--	--	12.83	--	--	--
PIJE	Adult	34.26	224.33	--	--	--	--	14.26	--	--	--
PIJE	Adult	185.2	147.03	--	--	--	--	50.12	--	--	--
PIJE	Adult	240.16	31.81	--	--	--	--	32.49	--	--	--
PIJE	Adult	42.73	269.04	--	--	--	--	98.18	--	--	--
PIJE	Adult	298.79	116.58	--	--	--	--	13.02	--	--	--
PIJE	Adult	107.57	177.32	--	--	--	--	2.6	--	--	--
PIJE	Adult	232.19	255.03	--	--	--	--	2.0	--	--	--
PIJE	Adult	205.42	16.28	--	--	--	--	16.96	--	--	--
PIJE	Adult	94.73	270.05	--	--	--	--	149.84	--	--	--
PIJE	Adult	263.42	86.93	--	--	--	--	23.66	--	--	--
PIJE	Adult	273.2	195.2	--	--	--	--	20.67	--	--	--
PIJE	Adult	281.52	169.9	--	--	--	--	12.59	--	--	--
PIJE	Adult	221.86	13.53	--	--	--	--	5.91	--	--	--
PIJE	Adult	11.07	94.71	--	--	--	--	15.39	--	--	--
PIJE	Adult	255.32	21.92	--	--	--	--	23.11	--	--	--
PIJE	Adult	25.63	204.2	--	--	--	--	24.25	--	--	--
PIJE	Adult	175.8	111.05	--	--	--	--	4.82	--	--	--
PIJE	Adult	56.46	230.52	--	--	--	--	11.02	--	--	--
PIJE	Adult	212.55	130.93	--	--	--	--	0.26	--	--	--
PIJE	Adult	15.85	167.73	--	--	--	--	46.18	--	--	--
PIJE	Adult	290.76	233.53	--	--	--	--	12.96	--	--	--
PIJE	Adult	285.13	235.64	--	--	--	--	9.02	--	--	--
PIJE	Adult	255.92	6.35	--	--	--	--	58.54	--	--	--
PIJE	Adult	161.38	145.86	--	--	--	--	20.04	--	--	--
PIJE	Adult	194.56	167.98	--	--	--	--	2.97	--	--	--
PIJE	Adult	48.08	156.43	--	--	--	--	2.27	--	--	--
PIJE	Adult	253.64	56.89	--	--	--	--	58.8	--	--	--
PIJE	Adult	150.75	176.22	--	--	--	--	6.47	--	--	--
PIJE	Adult	117.21	234.96	--	--	--	--	16.43	--	--	--
PIJE	Adult	272.08	154.42	--	--	--	--	18.99	--	--	--
PIJE	Adult	102.64	98.5	--	--	--	--	13.63	--	--	--
PIJE	Adult	76.28	153.31	--	--	--	--	15.03	--	--	--
PIJE	Adult	220.81	14.18	--	--	--	--	10.66	--	--	--
PIJE	Adult	236.32	294.35	--	--	--	--	5.69	--	--	--
PIJE	Adult	225.94	239.19	--	--	--	--	11.04	--	--	--
PIJE	Adult	215.75	277.49	--	--	--	--	28.17	--	--	--
PIJE	Adult	164.89	290.03	--	--	--	--	65.51	--	--	--
PIJE	Adult	104.08	137.82	--	--	--	--	19.51	--	--	--
PIJE	Adult	143.99	188.07	--	--	--	--	40.39	--	--	--
PIJE	Adult	187.18	220.04	--	--	--	--	29.38	--	--	--
PIJE	Adult	236.07	273.38	--	--	--	--	11.34	--	--	--
PIJE	Adult	161.09	232.6	--	--	--	--	89.05	--	--	--
PIJE	Adult	289.1	109.23	--	--	--	--	19.85	--	--	--
PIJE	Adult	91.6	278.11	--	--	--	--	19.62	--	--	--
PIJE	Adult	250.55	145.54	--	--	--	--	2.75	--	--	--
PIJE	Adult	289.33	199.8	--	--	--	--	25.12	--	--	--
PIJE	Adult	259.53	15.27	--	--	--	--	1.14	--	--	--
PIJE	Adult	35.66	84.96	--	--	--	--	4.7	--	--	--
PIJE	Adult	16.45	85.31	--	--	--	--	20.13	--	--	--
PIJE	Adult	126.39	165.97	--	--	--	--	89.87	--	--	--
PIJE	Adult	261.62	196.31	--	--	--	--	34.91	--	--	--
PIJE	Adult	71.62	94.08	--	--	--	--	1.78	--	--	--
PIJE	Adult	89.79	77.53	--	--	--	--	23.72	--	--	--
PIJE	Adult	216.56	51.04	--	--	--	--	1.27	--	--	--
PIJE	Adult	22.58	241.08	--	--	--	--	6.78	--	--	--
PIJE	Adult	107.92	214.11	--	--	--	--	136.78	--	--	--
PIJE	Adult	66.92	277.6	--	--	--	--	115.74	--	--	--
PIJE	Adult	115.32	176.11	--	--	--	--	11.76	--	--	--
PIJE	Adult	295.94	122.18	--	--	--	--	4.33	--	--	--
PIJE	Adult	183.65	243.96	--	--	--	--	61.85	--	--	--
PIJE	Adult	255.94	188.34	--	--	--	--	36.26	--	--	--
PIJE	Adult	15.98	248.21	--	--	--	--	17.58	--	--	--
PIJE	Adult	158.03	74.19	--	--	--	--	28.0	--	--	--
PIJE	Adult	72.87	120.58	--	--	--	--	2.86	--	--	--
PIJE	Adult	188.53	79.87	--	--	--	--	102.09	--	--	--
PIJE	Adult	81.03	115.27	--	--	--	--	1.35	--	--	--
PIJE	Adult	183.18	128.39	--	--	--	--	22.85	--	--	--
PIJE	Adult	122.64	143.31	--	--	--	--	2.02	--	--	--
PIJE	Adult	86.69	76.8	--	--	--	--	25.12	--	--	--
PIJE	Adult	254.93	82.97	--	--	--	--	13.88	--	--	--
PIJE	Adult	238.6	275.82	--	--	--	--	17.99	--	--	--
PIJE	Adult	134.7	137.25	--	--	--	--	21.4	--	--	--
PIJE	Adult	69.55	94.92	--	--	--	--	22.0	--	--	--
PIJE	Adult	15.55	148.79	--	--	--	--	0.87	--	--	--
PIJE	Adult	252.24	68.74	--	--	--	--	29.42	--	--	--
PIJE	Adult	177.28	260.67	--	--	--	--	19.02	--	--	--
PIJE	Adult	262.71	192.41	--	--	--	--	2.56	--	--	--
PIJE	Adult	15.41	140.09	--	--	--	--	8.24	--	--	--
PIJE	Adult	252.56	196.7	--	--	--	--	6.31	--	--	--
PIJE	Adult	61.66	260.39	--	--	--	--	2.3	--	--	--
PIJE	Adult	153.41	294.92	--	--	--	--	26.81	--	--	--
PIJE	Adult	252.53	142.54	--	--	--	--	6.59	--	--	--
PIJE	Adult	32.84	285.35	--	--	--	--	7.32	--	--	--
PIJE	Adult	282.76	123.77	--	--	--	--	9.08	--	--	--
PIJE	Adult	274.72	144.97	--	--	--	--	47.42	--	--	--
PIJE	Adult	85.1	182.17	--	--	--	--	13.06	--	--	--
PIJE	Adult	52.17	95.21	--	--	--	--	12.12	--	--	--
PIJE	Adult	39.15	110.03	--	--	--	--	16.98	--	--	--
PIJE	Adult	188.95	75.37	--	--	--	--	10.71	--	--	--
PIJE	Adult	11.41	173.97	--	--	--	--	37.55	--	--	--
PIJE	Adult	112.93	270.21	--	--	--	--	87.41	--	--	--
PIJE	Adult	145.6	138.39	--	--	--	--	15.65	--	--	--
PIJE	Adult	53.06	194.49	--	--	--	--	7.66	--	--	--
PIJE	Adult	189.34	104.11	--	--	--	--	4.05	--	--	--
PIJE	Adult	298.49	247.68	--	--	--	--	5.08	--	--	--
PIJE	Adult	185.94	159.51	--	--	--	--	15.51	--	--	--
PIJE	Adult	6.55	239.08	--	--	--	--	4.85	--	--	--
PIJE	Adult	262.71	221.02	--	--	--	--	11.47	--	--	--
PIJE	Adult	273.12	181.16	--	--	--	--	69.56	--	--	--
PIJE	Adult	278.92	60.46	--	--	--	--	12.16	--	--	--
PIJE	Adult	99.51	132.97	--	--	--	--	50.45	--	--	--
PIJE	Adult	182.1	145.2	--	--	--	--	28.8	--	--	--
PIJE	Adult	145.83	238.81	--	--	--	--	4.16	--	--	--
PIJE	Adult	267.5	242.29	--	--	--	--	29.21	--	--	--
PIJE	Adult	113.61	65.67	--	--	--	--	42.1	--	--	--
PIJE	Adult	259.73	236.66	--	--	--	--	8.69	--	--	--
PIJE	Adult	74.35	282.45	--	--	--	--	64.88	--	--	--
