Tree map for parameter file C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-EMRIDGE.xml
Species	Type	X	Y	Height	Diam10	Light	Growth	DBH	Crown Radius	Crown Depth	dead
PIMO	Adult	135.409	70.929	--	--	--	--	8.999	--	--	--
PIMO	Adult	194.938	143.845	--	--	--	--	8.783	--	--	--
PIMO	Adult	292.327	248.976	--	--	--	--	17.824	--	--	--
PIMO	Adult	126.787	117.1	--	--	--	--	11.749	--	--	--
PIMO	Adult	17.912	124.989	--	--	--	--	10.725	--	--	--
PIMO	Adult	261.641	263.806	--	--	--	--	30.194	--	--	--
PIMO	Adult	15.972	222.096	--	--	--	--	6.175	--	--	--
PIMO	Adult	204.411	228.995	--	--	--	--	20.937	--	--	--
PIMO	Adult	44.043	209.214	--	--	--	--	13.33	--	--	--
PIMO	Adult	194.585	167.647	--	--	--	--	27.067	--	--	--
PIMO	Adult	51.317	52.473	--	--	--	--	6.665	--	--	--
PIMO	Adult	247.132	198.019	--	--	--	--	30.511	--	--	--
PIMO	Adult	5.166	44.024	--	--	--	--	11.745	--	--	--
PIMO	Adult	279.158	218.5	--	--	--	--	171.035	--	--	--
PIMO	Adult	255.129	271.283	--	--	--	--	22.584	--	--	--
PIMO	Adult	278.899	22.075	--	--	--	--	35.601	--	--	--
PIMO	Adult	257.725	65.336	--	--	--	--	5.366	--	--	--
PIMO	Adult	71.303	63.207	--	--	--	--	10.595	--	--	--
PIMO	Adult	214.858	229.522	--	--	--	--	26.211	--	--	--
PIMO	Adult	23.789	143.758	--	--	--	--	2.837	--	--	--
PIMO	Adult	67.08	189.088	--	--	--	--	20.634	--	--	--
PIMO	Adult	295.584	151.977	--	--	--	--	15.115	--	--	--
PIMO	Adult	288.141	111.419	--	--	--	--	8.605	--	--	--
PIMO	Adult	36.591	221.231	--	--	--	--	24.519	--	--	--
PIMO	Adult	11.485	257.89	--	--	--	--	11.131	--	--	--
PIMO	Adult	210.538	137.271	--	--	--	--	26.104	--	--	--
PIMO	Adult	117.516	232.639	--	--	--	--	6.021	--	--	--
PIMO	Adult	238.067	209.09	--	--	--	--	2.53	--	--	--
PIMO	Adult	112.151	194.426	--	--	--	--	11.797	--	--	--
PIMO	Adult	19.326	197.641	--	--	--	--	8.731	--	--	--
PIMO	Adult	238.158	73.218	--	--	--	--	19.519	--	--	--
PIMO	Adult	73.525	216.983	--	--	--	--	11.067	--	--	--
PIMO	Adult	192.603	91.319	--	--	--	--	5.157	--	--	--
PIMO	Adult	118.862	149.183	--	--	--	--	15.267	--	--	--
PIMO	Adult	295.978	247.84	--	--	--	--	2.618	--	--	--
PIMO	Adult	35.566	228.562	--	--	--	--	17.222	--	--	--
PIMO	Adult	128.961	174.199	--	--	--	--	20.663	--	--	--
PIMO	Adult	75.558	24.761	--	--	--	--	18.447	--	--	--
PIMO	Adult	154.888	214.264	--	--	--	--	6.385	--	--	--
PIMO	Adult	16.024	206.911	--	--	--	--	12.086	--	--	--
PIMO	Adult	266.387	245.226	--	--	--	--	12.143	--	--	--
PIMO	Adult	31.656	55.013	--	--	--	--	2.823	--	--	--
PIMO	Adult	165.454	73.144	--	--	--	--	10.726	--	--	--
PIMO	Adult	124.634	133.018	--	--	--	--	21.281	--	--	--
PIMO	Adult	264.644	134.397	--	--	--	--	2.31	--	--	--
PIMO	Adult	164.852	139.017	--	--	--	--	4.236	--	--	--
PIMO	Adult	255.242	2.175	--	--	--	--	23.045	--	--	--
PIMO	Adult	13.806	187.128	--	--	--	--	6.753	--	--	--
PIMO	Adult	159.139	171.934	--	--	--	--	23.688	--	--	--
PIMO	Adult	210.451	145.158	--	--	--	--	1.447	--	--	--
PIMO	Adult	132.792	114.331	--	--	--	--	11.924	--	--	--
PIMO	Adult	93.353	39.283	--	--	--	--	6.066	--	--	--
PIMO	Adult	85.661	135.376	--	--	--	--	12.286	--	--	--
PIMO	Adult	261.051	79.802	--	--	--	--	34.819	--	--	--
PIMO	Adult	156.164	152.397	--	--	--	--	4.702	--	--	--
PIMO	Adult	73.371	72.58	--	--	--	--	21.612	--	--	--
PIMO	Adult	155.024	210.407	--	--	--	--	17.346	--	--	--
PIMO	Adult	137.855	43.093	--	--	--	--	32.35	--	--	--
PIMO	Adult	222.334	75.112	--	--	--	--	10.647	--	--	--
PIMO	Adult	85.693	295.899	--	--	--	--	13.026	--	--	--
PIMO	Adult	295.172	82.886	--	--	--	--	65.064	--	--	--
PIMO	Adult	51.026	23.069	--	--	--	--	13.097	--	--	--
PIMO	Adult	232.452	102.759	--	--	--	--	11.052	--	--	--
PIMO	Adult	120.758	212.838	--	--	--	--	8.631	--	--	--
PIMO	Adult	75.96	49.162	--	--	--	--	9.665	--	--	--
PIMO	Adult	173.736	17.942	--	--	--	--	11.074	--	--	--
PIMO	Adult	81.85	232.928	--	--	--	--	96.062	--	--	--
PIMO	Adult	12.019	182.399	--	--	--	--	11.894	--	--	--
PIMO	Adult	171.531	182.73	--	--	--	--	5.494	--	--	--
PIMO	Adult	210.853	6.281	--	--	--	--	13.305	--	--	--
PIMO	Adult	163.413	226.685	--	--	--	--	283.021	--	--	--
PIMO	Adult	188.75	181.45	--	--	--	--	9.99	--	--	--
PIMO	Adult	108.467	5.37	--	--	--	--	11.362	--	--	--
PIMO	Adult	49.162	227.366	--	--	--	--	6.155	--	--	--
PIMO	Adult	66.646	66.368	--	--	--	--	4.738	--	--	--
PIMO	Adult	220.713	234.295	--	--	--	--	22.744	--	--	--
PIMO	Adult	101.385	196.086	--	--	--	--	5.914	--	--	--
PIMO	Adult	121.366	62.605	--	--	--	--	11.481	--	--	--
PIMO	Adult	279.104	250.667	--	--	--	--	8.734	--	--	--
PIMO	Adult	188.477	182.903	--	--	--	--	26.861	--	--	--
PIMO	Adult	279.552	287.459	--	--	--	--	5.075	--	--	--
PIMO	Adult	269.807	47.585	--	--	--	--	7.612	--	--	--
PIMO	Adult	78.194	117.876	--	--	--	--	12.146	--	--	--
PIMO	Adult	16.718	269.828	--	--	--	--	32.839	--	--	--
PIMO	Adult	100.167	180.178	--	--	--	--	11.843	--	--	--
PIMO	Adult	131.931	214.252	--	--	--	--	23.901	--	--	--
PIMO	Adult	71.774	299.73	--	--	--	--	22.779	--	--	--
PIMO	Adult	181.143	67.14	--	--	--	--	8.95	--	--	--
PIMO	Adult	279.697	262.327	--	--	--	--	23.465	--	--	--
PIMO	Adult	149.66	142.307	--	--	--	--	8.814	--	--	--
PIMO	Adult	133.249	1.071	--	--	--	--	81.074	--	--	--
PIMO	Adult	282.912	182.179	--	--	--	--	18.767	--	--	--
PIMO	Adult	152.111	128.347	--	--	--	--	11.828	--	--	--
PIMO	Adult	144.61	154.813	--	--	--	--	8.957	--	--	--
PIMO	Adult	186.444	53.023	--	--	--	--	108.558	--	--	--
PIMO	Adult	110.596	142.563	--	--	--	--	18.999	--	--	--
PIMO	Adult	263.421	75.244	--	--	--	--	108.162	--	--	--
PIMO	Adult	2.677	30.507	--	--	--	--	14.412	--	--	--
PIMO	Adult	114.015	154.383	--	--	--	--	22.037	--	--	--
PIMO	Adult	272.447	44.551	--	--	--	--	16.444	--	--	--
PIMO	Adult	295.91	2.04	--	--	--	--	83.08	--	--	--
PIMO	Adult	113.436	112.436	--	--	--	--	6.957	--	--	--
PIMO	Adult	101.146	190.519	--	--	--	--	8.547	--	--	--
PIMO	Adult	247.252	166.292	--	--	--	--	7.381	--	--	--
PIMO	Adult	72.178	274.259	--	--	--	--	17.966	--	--	--
PIMO	Adult	203.997	77.24	--	--	--	--	10.345	--	--	--
PIMO	Adult	80.756	171.693	--	--	--	--	5.177	--	--	--
PIMO	Adult	3.121	70.223	--	--	--	--	17.978	--	--	--
PIMO	Adult	91.606	6.255	--	--	--	--	13.059	--	--	--
PIMO	Adult	254.836	200.493	--	--	--	--	12.12	--	--	--
PIMO	Adult	154.744	287.452	--	--	--	--	11.655	--	--	--
PIMO	Adult	224.871	138.288	--	--	--	--	2.236	--	--	--
PIMO	Adult	32.657	94.733	--	--	--	--	10.507	--	--	--
PIMO	Adult	59.318	272.573	--	--	--	--	8.698	--	--	--
PIMO	Adult	173.567	111.943	--	--	--	--	2.882	--	--	--
PIMO	Adult	217.293	0.469	--	--	--	--	15.622	--	--	--
PIMO	Adult	5.473	260.507	--	--	--	--	5.047	--	--	--
PIMO	Adult	111.357	275.982	--	--	--	--	12.048	--	--	--
PIMO	Adult	211.409	43.619	--	--	--	--	7.61	--	--	--
PIMO	Adult	299.994	118.918	--	--	--	--	1.648	--	--	--
PIMO	Adult	228.737	160.237	--	--	--	--	28.409	--	--	--
PIMO	Adult	217.025	113.983	--	--	--	--	20.885	--	--	--
PIMO	Adult	156.36	212.301	--	--	--	--	23.366	--	--	--
PIMO	Adult	272.631	57.912	--	--	--	--	30.091	--	--	--
PIMO	Adult	192.638	216.634	--	--	--	--	23.747	--	--	--
PIMO	Adult	98.004	264.658	--	--	--	--	15.595	--	--	--
PIMO	Adult	45.434	204.103	--	--	--	--	8.815	--	--	--
PIMO	Adult	297.057	166.637	--	--	--	--	88.132	--	--	--
PIMO	Adult	58.859	271.151	--	--	--	--	9.575	--	--	--
PIMO	Adult	43.958	227.383	--	--	--	--	7.819	--	--	--
PIMO	Adult	222.67	199.848	--	--	--	--	5.596	--	--	--
PIMO	Adult	147.645	6.003	--	--	--	--	3.045	--	--	--
PIMO	Adult	130.983	132.187	--	--	--	--	9.163	--	--	--
PIMO	Adult	57.504	83.52	--	--	--	--	21.769	--	--	--
PIMO	Adult	236.061	108.174	--	--	--	--	12.28	--	--	--
PIMO	Adult	284.096	194.66	--	--	--	--	12.237	--	--	--
PIMO	Adult	214.589	6.146	--	--	--	--	151.136	--	--	--
PIMO	Adult	294.749	196.529	--	--	--	--	78.157	--	--	--
PIMO	Adult	118.009	93.804	--	--	--	--	5.879	--	--	--
PIMO	Adult	282.611	208.126	--	--	--	--	9.07	--	--	--
PIMO	Adult	62.769	103.581	--	--	--	--	14.713	--	--	--
PIMO	Adult	264.134	173.719	--	--	--	--	280.554	--	--	--
PIMO	Adult	168.702	19.158	--	--	--	--	300.602	--	--	--
PIMO	Adult	24.302	210.631	--	--	--	--	2.823	--	--	--
PIMO	Adult	270.156	142.009	--	--	--	--	12.753	--	--	--
PIMO	Adult	124.924	261.017	--	--	--	--	12.745	--	--	--
PIMO	Adult	56.409	148.679	--	--	--	--	7.798	--	--	--
PIMO	Adult	271.044	290.958	--	--	--	--	14.428	--	--	--
PIMO	Adult	90.989	266.224	--	--	--	--	2.494	--	--	--
PIMO	Adult	45.251	245.157	--	--	--	--	11.585	--	--	--
PIMO	Adult	173.122	222.979	--	--	--	--	36.433	--	--	--
PIMO	Adult	175.448	175.452	--	--	--	--	7.772	--	--	--
PIMO	Adult	42.616	90.094	--	--	--	--	127.469	--	--	--
PIMO	Adult	77.436	141.293	--	--	--	--	120.279	--	--	--
PIMO	Adult	26.447	221.733	--	--	--	--	5.057	--	--	--
PIMO	Adult	105.057	214.559	--	--	--	--	11.9	--	--	--
PIMO	Adult	18.141	91.181	--	--	--	--	6.234	--	--	--
PIMO	Adult	7.484	164.423	--	--	--	--	88.257	--	--	--
PIMO	Adult	185.216	161.783	--	--	--	--	9.101	--	--	--
PIMO	Adult	175.264	70.42	--	--	--	--	14.971	--	--	--
PIMO	Adult	257.472	280.151	--	--	--	--	20.286	--	--	--
PIMO	Adult	19.437	196.426	--	--	--	--	11.815	--	--	--
PIMO	Adult	83.501	10.676	--	--	--	--	10.897	--	--	--
PIMO	Adult	69.901	27.039	--	--	--	--	14.796	--	--	--
PIMO	Adult	187.728	130.55	--	--	--	--	12.484	--	--	--
PIMO	Adult	12.947	19.545	--	--	--	--	35.649	--	--	--
PIMO	Adult	23.02	222.021	--	--	--	--	3.688	--	--	--
PIMO	Adult	278.308	45.646	--	--	--	--	6.001	--	--	--
PIMO	Adult	127.499	244.152	--	--	--	--	114.474	--	--	--
PIMO	Adult	89.636	46.175	--	--	--	--	8.71	--	--	--
PIMO	Adult	24.9	299.133	--	--	--	--	3.145	--	--	--
PIMO	Adult	247.392	298.133	--	--	--	--	20.005	--	--	--
PIMO	Adult	276.803	155.447	--	--	--	--	11.644	--	--	--
PIMO	Adult	229.66	62.388	--	--	--	--	11.773	--	--	--
PIMO	Adult	117.614	183.763	--	--	--	--	103.533	--	--	--
PIMO	Adult	268.145	24.337	--	--	--	--	14.693	--	--	--
PIMO	Adult	67.136	248.812	--	--	--	--	9.895	--	--	--
PIMO	Adult	292.262	181.665	--	--	--	--	23.514	--	--	--
PIMO	Adult	284.433	217.397	--	--	--	--	6.029	--	--	--
PIMO	Adult	254.905	176.113	--	--	--	--	31.804	--	--	--
PIMO	Adult	295.738	182.558	--	--	--	--	5.77	--	--	--
PIMO	Adult	194.024	286.288	--	--	--	--	4.882	--	--	--
PIMO	Adult	118.518	67.612	--	--	--	--	30.829	--	--	--
PIMO	Adult	137.21	114.888	--	--	--	--	5.181	--	--	--
PIMO	Adult	61.575	250.932	--	--	--	--	21.866	--	--	--
PIMO	Adult	134.91	43.096	--	--	--	--	27.208	--	--	--
PIMO	Adult	28.573	210.874	--	--	--	--	20.92	--	--	--
PIMO	Adult	240.816	21.773	--	--	--	--	21.365	--	--	--
PIMO	Adult	145.728	77.391	--	--	--	--	21.0	--	--	--
PIMO	Adult	269.984	53.951	--	--	--	--	36.44	--	--	--
PIMO	Adult	184.718	71.076	--	--	--	--	10.952	--	--	--
PIMO	Adult	186.701	46.741	--	--	--	--	3.565	--	--	--
PIMO	Adult	172.567	86.757	--	--	--	--	17.922	--	--	--
PIMO	Adult	68.664	20.695	--	--	--	--	3.244	--	--	--
PIMO	Adult	284.044	141.52	--	--	--	--	7.833	--	--	--
PIMO	Adult	82.868	268.944	--	--	--	--	10.105	--	--	--
PIMO	Adult	140.983	186.797	--	--	--	--	38.464	--	--	--
PIMO	Adult	242.228	9.158	--	--	--	--	10.837	--	--	--
PIMO	Adult	164.317	84.748	--	--	--	--	15.103	--	--	--
PIMO	Adult	185.236	171.797	--	--	--	--	26.717	--	--	--
PIMO	Adult	128.758	25.363	--	--	--	--	14.773	--	--	--
PIMO	Adult	187.786	110.188	--	--	--	--	12.448	--	--	--
PIMO	Adult	31.493	161.282	--	--	--	--	4.107	--	--	--
PIMO	Adult	263.206	12.322	--	--	--	--	10.877	--	--	--
PIMO	Adult	166.037	229.13	--	--	--	--	103.303	--	--	--
PIMO	Adult	91.254	198.24	--	--	--	--	26.297	--	--	--
PIMO	Adult	276.165	251.655	--	--	--	--	24.96	--	--	--
PIMO	Adult	141.797	271.251	--	--	--	--	110.03	--	--	--
PIMO	Adult	3.32	47.318	--	--	--	--	328.494	--	--	--
PIMO	Adult	284.764	116.624	--	--	--	--	301.512	--	--	--
PIMO	Adult	1.238	215.283	--	--	--	--	15.95	--	--	--
PIMO	Adult	227.243	231.443	--	--	--	--	1.39	--	--	--
PIMO	Adult	157.494	150.046	--	--	--	--	6.449	--	--	--
PIMO	Adult	212.521	108.954	--	--	--	--	18.69	--	--	--
PIMO	Adult	147.3	176.788	--	--	--	--	8.108	--	--	--
PIMO	Adult	210.389	28.874	--	--	--	--	23.107	--	--	--
PIMO	Adult	81.416	276.702	--	--	--	--	13.369	--	--	--
PIMO	Adult	140.703	119.689	--	--	--	--	7.893	--	--	--
PIMO	Adult	222.941	67.007	--	--	--	--	5.424	--	--	--
PIMO	Adult	226.054	14.171	--	--	--	--	7.523	--	--	--
PIMO	Adult	275.725	60.211	--	--	--	--	23.08	--	--	--
PIMO	Adult	156.049	9.428	--	--	--	--	4.266	--	--	--
PIMO	Adult	1.992	132.806	--	--	--	--	38.794	--	--	--
PIMO	Adult	87.144	226.711	--	--	--	--	20.581	--	--	--
PIMO	Adult	110.455	124.005	--	--	--	--	4.686	--	--	--
PIMO	Adult	64.735	49.631	--	--	--	--	86.01	--	--	--
PIMO	Adult	156.986	70.415	--	--	--	--	10.216	--	--	--
PIMO	Adult	129.283	50.489	--	--	--	--	2.735	--	--	--
PIMO	Adult	299.533	81.917	--	--	--	--	14.237	--	--	--
PIMO	Adult	216.619	284.95	--	--	--	--	102.483	--	--	--
PIMO	Adult	41.033	27.734	--	--	--	--	6.018	--	--	--
PIMO	Adult	63.553	126.921	--	--	--	--	11.35	--	--	--
PIMO	Adult	288.764	12.52	--	--	--	--	269.434	--	--	--
PIMO	Adult	173.095	106.184	--	--	--	--	104.371	--	--	--
PIMO	Adult	249.186	232.415	--	--	--	--	16.275	--	--	--
PIMO	Adult	103.187	255.711	--	--	--	--	10.326	--	--	--
PIMO	Adult	248.958	129.803	--	--	--	--	8.17	--	--	--
PIMO	Adult	297.417	99.209	--	--	--	--	4.533	--	--	--
PIMO	Adult	204.144	23.472	--	--	--	--	28.506	--	--	--
PIMO	Adult	220.08	213.754	--	--	--	--	5.785	--	--	--
PIMO	Adult	26.872	147.881	--	--	--	--	17.57	--	--	--
PIMO	Adult	79.313	181.011	--	--	--	--	20.436	--	--	--
PIMO	Adult	83.279	175.219	--	--	--	--	16.997	--	--	--
PIMO	Adult	124.962	177.388	--	--	--	--	23.106	--	--	--
PIMO	Adult	283.893	173.377	--	--	--	--	21.087	--	--	--
PIMO	Adult	14.831	32.73	--	--	--	--	15.487	--	--	--
PIMO	Adult	74.498	5.124	--	--	--	--	6.66	--	--	--
PIMO	Adult	298.145	64.228	--	--	--	--	28.803	--	--	--
PIMO	Adult	190.891	59.524	--	--	--	--	20.213	--	--	--
PIMO	Adult	291.323	212.562	--	--	--	--	18.518	--	--	--
PIMO	Adult	254.542	162.547	--	--	--	--	8.102	--	--	--
PIMO	Adult	9.508	107.13	--	--	--	--	111.355	--	--	--
PIMO	Adult	244.372	262.162	--	--	--	--	15.768	--	--	--
PIMO	Adult	205.854	4.023	--	--	--	--	12.755	--	--	--
PIMO	Adult	297.878	58.425	--	--	--	--	19.044	--	--	--
PIMO	Adult	112.893	33.325	--	--	--	--	11.896	--	--	--
PIMO	Adult	221.54	194.591	--	--	--	--	11.578	--	--	--
PIMO	Adult	215.785	165.595	--	--	--	--	11.873	--	--	--
PIMO	Adult	10.885	66.943	--	--	--	--	60.243	--	--	--
PIMO	Adult	114.753	209.429	--	--	--	--	1.399	--	--	--
PIMO	Adult	238.188	235.554	--	--	--	--	35.538	--	--	--
PIMO	Adult	86.53	292.523	--	--	--	--	32.065	--	--	--
PIMO	Adult	36.908	178.222	--	--	--	--	19.931	--	--	--
PIMO	Adult	260.794	106.959	--	--	--	--	11.888	--	--	--
PIMO	Adult	279.567	218.762	--	--	--	--	10.254	--	--	--
PIMO	Adult	35.747	258.727	--	--	--	--	40.993	--	--	--
PIMO	Adult	238.996	185.423	--	--	--	--	169.638	--	--	--
PIMO	Adult	101.592	235.464	--	--	--	--	3.528	--	--	--
PIMO	Adult	0.138	235.755	--	--	--	--	10.721	--	--	--
PIMO	Adult	74.864	76.363	--	--	--	--	19.877	--	--	--
PIMO	Adult	179.236	247.748	--	--	--	--	19.081	--	--	--
PIMO	Adult	57.976	20.069	--	--	--	--	9.862	--	--	--
PIMO	Adult	271.964	97.105	--	--	--	--	9.317	--	--	--
PIMO	Adult	54.2	146.171	--	--	--	--	19.17	--	--	--
PIMO	Adult	49.263	7.88	--	--	--	--	13.797	--	--	--
PIMO	Adult	75.614	223.832	--	--	--	--	4.632	--	--	--
PIMO	Adult	281.868	104.615	--	--	--	--	14.288	--	--	--
PIMO	Adult	45.2	26.248	--	--	--	--	7.585	--	--	--
PIMO	Adult	195.01	103.531	--	--	--	--	8.301	--	--	--
PIMO	Adult	10.362	100.044	--	--	--	--	17.839	--	--	--
PIMO	Adult	204.384	262.204	--	--	--	--	6.06	--	--	--
PIMO	Adult	140.824	283.075	--	--	--	--	8.897	--	--	--
PIMO	Adult	133.132	133.177	--	--	--	--	103.291	--	--	--
PIMO	Adult	162.003	75.108	--	--	--	--	20.534	--	--	--
PIMO	Adult	246.837	280.5	--	--	--	--	120.65	--	--	--
PIMO	Adult	83.874	76.17	--	--	--	--	38.301	--	--	--
PIMO	Adult	65.024	223.937	--	--	--	--	18.198	--	--	--
PIMO	Adult	137.021	207.971	--	--	--	--	34.061	--	--	--
PIMO	Adult	190.96	234.583	--	--	--	--	62.757	--	--	--
PIMO	Adult	256.351	225.895	--	--	--	--	12.518	--	--	--
PIMO	Adult	199.032	182.289	--	--	--	--	17.007	--	--	--
PIMO	Adult	68.752	157.02	--	--	--	--	12.417	--	--	--
PIMO	Adult	168.619	207.857	--	--	--	--	19.842	--	--	--
PIMO	Adult	183.015	205.961	--	--	--	--	12.3	--	--	--
PIMO	Adult	110.076	169.148	--	--	--	--	11.839	--	--	--
PIMO	Adult	280.801	85.218	--	--	--	--	14.684	--	--	--
PIMO	Adult	189.51	298.05	--	--	--	--	16.98	--	--	--
PIMO	Adult	112.732	237.973	--	--	--	--	8.3	--	--	--
PIMO	Adult	52.042	162.268	--	--	--	--	11.285	--	--	--
PIMO	Adult	225.576	236.698	--	--	--	--	7.694	--	--	--
PIMO	Adult	158.655	178.766	--	--	--	--	12.13	--	--	--
PIMO	Adult	213.824	163.318	--	--	--	--	11.864	--	--	--
PIMO	Adult	93.507	151.772	--	--	--	--	8.665	--	--	--
PIMO	Adult	216.933	256.802	--	--	--	--	21.012	--	--	--
PIMO	Adult	93.858	170.466	--	--	--	--	2.259	--	--	--
PIMO	Adult	168.677	81.377	--	--	--	--	2.822	--	--	--
PIMO	Adult	191.56	92.697	--	--	--	--	8.303	--	--	--
PIMO	Adult	94.451	83.353	--	--	--	--	23.061	--	--	--
PIMO	Adult	18.311	126.942	--	--	--	--	13.706	--	--	--
PIMO	Adult	119.283	198.664	--	--	--	--	21.018	--	--	--
PIMO	Adult	90.384	290.24	--	--	--	--	6.103	--	--	--
PIMO	Adult	192.661	120.289	--	--	--	--	3.158	--	--	--
PIMO	Adult	124.35	17.825	--	--	--	--	40.708	--	--	--
PIMO	Adult	44.799	233.13	--	--	--	--	32.145	--	--	--
PIMO	Adult	229.228	12.842	--	--	--	--	8.9	--	--	--
PIMO	Adult	174.613	194.827	--	--	--	--	12.979	--	--	--
PIMO	Adult	268.618	288.017	--	--	--	--	11.635	--	--	--
PIMO	Adult	214.075	99.578	--	--	--	--	56.062	--	--	--
PIMO	Adult	152.607	94.276	--	--	--	--	10.727	--	--	--
PIMO	Adult	148.833	188.702	--	--	--	--	11.775	--	--	--
PIMO	Adult	116.347	154.482	--	--	--	--	19.416	--	--	--
PIMO	Adult	287.09	194.773	--	--	--	--	9.621	--	--	--
PIMO	Adult	140.547	262.532	--	--	--	--	9.999	--	--	--
PIMO	Adult	209.778	74.717	--	--	--	--	3.534	--	--	--
PIMO	Adult	62.651	114.934	--	--	--	--	4.506	--	--	--
PIMO	Adult	250.524	64.559	--	--	--	--	16.066	--	--	--
PIMO	Adult	147.198	118.508	--	--	--	--	19.38	--	--	--
PIMO	Adult	105.59	261.748	--	--	--	--	12.159	--	--	--
PIMO	Adult	229.909	118.823	--	--	--	--	23.783	--	--	--
PIMO	Adult	226.815	209.66	--	--	--	--	37.432	--	--	--
PIMO	Adult	140.68	251.27	--	--	--	--	19.437	--	--	--
PIMO	Adult	259.562	275.168	--	--	--	--	26.759	--	--	--
PIMO	Adult	80.796	55.169	--	--	--	--	17.087	--	--	--
PIMO	Adult	238.59	7.95	--	--	--	--	4.681	--	--	--
PIMO	Adult	210.838	26.512	--	--	--	--	8.227	--	--	--
PIMO	Adult	213.052	214.988	--	--	--	--	8.919	--	--	--
PIMO	Adult	203.135	54.275	--	--	--	--	13.481	--	--	--
PIMO	Adult	118.009	98.681	--	--	--	--	54.136	--	--	--
PIMO	Adult	109.028	159.453	--	--	--	--	7.995	--	--	--
PIMO	Adult	177.199	17.702	--	--	--	--	2.882	--	--	--
PIMO	Adult	294.681	13.846	--	--	--	--	25.708	--	--	--
PIMO	Adult	283.886	80.418	--	--	--	--	11.012	--	--	--
PIMO	Adult	163.66	65.775	--	--	--	--	20.597	--	--	--
PIMO	Adult	27.488	42.001	--	--	--	--	320.554	--	--	--
PIMO	Adult	264.554	135.275	--	--	--	--	29.233	--	--	--
PIMO	Adult	122.519	46.265	--	--	--	--	8.569	--	--	--
PIMO	Adult	41.02	49.067	--	--	--	--	15.448	--	--	--
PIMO	Adult	24.497	0.885	--	--	--	--	18.689	--	--	--
PIMO	Adult	150.17	48.542	--	--	--	--	12.308	--	--	--
PIMO	Adult	157.574	267.083	--	--	--	--	148.401	--	--	--
PIMO	Adult	218.49	229.235	--	--	--	--	32.115	--	--	--
PIMO	Adult	253.965	156.817	--	--	--	--	1.466	--	--	--
PIMO	Adult	297.719	232.284	--	--	--	--	33.173	--	--	--
