X	Y	Species	Type	Diam
294.84	204.64	PIJE	Adult	1.81
117.12	289.73	PIJE	Adult	1.87
267.05	215.92	PIJE	Adult	13.28
88.37	249.1	PIJE	Adult	4.54
156.71	222.88	PIJE	Adult	1.76
232.97	147.2	PIJE	Adult	6.31
208.17	183.86	PIJE	Adult	5.37
296.44	12.84	PIJE	Adult	2.57
283.16	70.61	PIJE	Adult	1.91
117.69	10.22	PIJE	Adult	11.79
140.19	63.82	PIJE	Adult	4.41
161.19	298.71	PIJE	Adult	5.81
103.09	16.02	PIJE	Adult	4.47
150.91	253.55	PIJE	Adult	10.67
48.28	141.04	PIJE	Adult	5.88
125.31	264.7	PIJE	Adult	7.61
65.41	199.68	PIJE	Adult	4.53
253.15	91.92	PIJE	Adult	8.74
230.75	231.76	PIJE	Adult	2.59
187.2	91.69	PIJE	Adult	17.9
237.09	191.01	PIJE	Adult	9.28
107.11	255.2	PIJE	Adult	7.07
2.02	226.8	PIJE	Adult	10.86
151.49	84.77	PIJE	Adult	4.29
149.86	57.01	PIJE	Adult	4.86
276.11	277.88	PIJE	Adult	5.8
189.17	269.09	PIJE	Adult	3.99
110.74	256.89	PIJE	Adult	8.04
192.52	67.7	PIJE	Adult	7.36
78.29	122	PIMO	Adult	263.77
83.23	123.56	PIMO	Adult	90.8
10.17	175.87	PIMO	Adult	46.58
208.95	235.69	PIMO	Adult	56.22
122.7	219.83	PIMO	Adult	25.8
93.66	116.59	PIMO	Adult	9.97
237.52	90.54	PIMO	Adult	47.85
96.46	287.57	PIMO	Adult	772.58
185.11	54.98	PIMO	Adult	1.52
296.29	212.82	PIMO	Adult	3.69
296.73	99.02	PIMO	Adult	36.08
289.67	176.12	PIMO	Adult	11.24
298.57	230.02	PIMO	Adult	19.65
187.81	123.02	PIMO	Adult	20.83
218.75	196.33	PIMO	Adult	24.01
150.3	79.02	PIMO	Adult	40.03
45.52	279.4	PIMO	Adult	13.2
158.97	275.16	PIMO	Adult	3.04
252.64	95.3	PIMO	Adult	5.84
209.04	104.43	PIMO	Adult	21.21
105.49	38.78	PIMO	Adult	22.44
255.37	23.12	PIMO	Adult	7.48
241.85	101.42	PIMO	Adult	18.98
221.61	231.88	PIMO	Adult	120.19
219.48	173.86	PIMO	Adult	31.95
126.74	81.49	PIMO	Adult	361.06
284.79	272.19	PIMO	Adult	22.1
2.74	262.72	PIMO	Adult	135.71
226.52	116.66	PIMO	Adult	2.82
31.14	251.96	PIMO	Adult	79.47
139.15	118.73	PIMO	Adult	151.17
57.96	196.98	PIMO	Adult	18.85
178.01	211.39	PIMO	Adult	62.14
59.6	107.87	PIMO	Adult	0.6
292.18	230.78	PIMO	Adult	104.1
287.11	195.34	PIMO	Adult	49.55
3.59	245.09	PIMO	Adult	15.92
244.43	289.16	PIMO	Adult	8.99
68.57	142.18	PIMO	Adult	48.32
145.33	100.22	PIMO	Adult	32.97
255.23	221.94	PIMO	Adult	55.95
138.09	261.53	PIMO	Adult	10.84
262.13	68.12	PIMO	Adult	18.3
295.23	12.5	PIMO	Adult	207.94
210.49	142.43	PIMO	Adult	224.09
217	130.89	PIMO	Adult	735.29
60.37	187	PIMO	Adult	3.29
137.48	279.87	PIMO	Adult	6.14
260.04	47.7	PIMO	Adult	12.54
180.45	115.44	PIMO	Adult	59.34
128	229.86	PIMO	Adult	22.18
217.52	53.51	PIMO	Adult	36.88
149.69	25.79	PIMO	Adult	17.9
221.63	212.76	PIMO	Adult	425.79
116.26	194.99	PIMO	Adult	284.34
269.1	115.38	PIMO	Adult	13.65
166.35	176	PIMO	Adult	11.09
108.21	59.22	PIMO	Adult	40.45
25.89	152.84	PIMO	Adult	6.05
148.93	263.71	PIMO	Adult	10.12
289.26	241.9	PIMO	Adult	10.98
219.33	193.86	PIMO	Adult	7.9
116.95	250.25	PIMO	Adult	35.03
45.94	155.37	PIMO	Adult	512.72
254.52	225.44	PIMO	Adult	6.71
235.93	172.87	PIMO	Adult	63.1
258.62	164.98	PIMO	Adult	100.76
173.37	113.64	PIMO	Adult	92.57
22.88	268.59	PIMO	Adult	42.38
166.86	169.55	PIMO	Adult	16.56
155.44	232.64	PIMO	Adult	126.04
117.22	236.37	PIMO	Adult	11.82
109.28	64.02	PIMO	Adult	69.08
199.43	278.42	PIMO	Adult	87.18
23.48	176.91	PIMO	Adult	15.34
295.11	204.27	PIMO	Adult	4.39
268.04	22.02	PIMO	Adult	1.87
210.48	77.11	PIMO	Adult	153.76
289.72	248.99	PIMO	Adult	8.79
236.32	137.69	PIMO	Adult	6.98
179.51	246.14	PIMO	Adult	57.44
283.72	199.41	PIMO	Adult	5.85
200.53	222.07	PIMO	Adult	17.05
176.72	144.63	PIMO	Adult	4.66
268.67	273.44	PIMO	Adult	145.35
134.08	245.27	PIMO	Adult	237.23
28.44	280.87	PIMO	Adult	31.73
24.03	151.66	PIMO	Adult	4.92
181.48	149.42	PIMO	Adult	11.28
153.01	121.07	PIMO	Adult	9
63.08	212.06	PIMO	Adult	149.7
239.29	233.8	PIMO	Adult	4.83
290.93	98.75	PIMO	Adult	3.4
109.45	102.52	PIMO	Adult	461.35
28.26	188.15	PIMO	Adult	34.75
207.77	240.86	PIMO	Adult	12.81
141.09	202.7	PIMO	Adult	5.26
233.43	166.43	PIMO	Adult	49.83
161.97	32.74	PIMO	Adult	19.04
174.48	195.14	PIMO	Adult	47.68
118.86	243.38	PIMO	Adult	3.26
138.76	28.67	PIMO	Adult	5.23
80.78	147.18	PIMO	Adult	64.92
70.48	186.09	PIMO	Adult	32.73
87.31	296.97	PIMO	Adult	139.32
109.12	147.8	PIMO	Adult	20.06
182.69	10.61	PIMO	Adult	10.03
26.12	277.84	PIMO	Adult	56.58
228.42	167.45	PIMO	Adult	9.65
70.14	191.38	PIMO	Adult	133.97
205.46	286.55	PIMO	Adult	60.92
131.26	89.36	PIMO	Adult	103.32
76.3	292.17	PIMO	Adult	33.12
186.09	155.82	PIMO	Adult	57.44
268.66	186.5	PIMO	Adult	120.15
133.49	153.09	PIMO	Adult	15.58
141.14	256.15	PIMO	Adult	5.15
295.51	30.42	PIMO	Adult	47.12
69.08	282.9	PIMO	Adult	6.05
293.27	144.08	PIMO	Adult	19.75
276.3	256.23	PIMO	Adult	9.41
149.44	113.27	PIMO	Adult	37.88
242.39	148.77	PIMO	Adult	13.78
185.32	66.06	PIMO	Adult	41.57
146.76	213.14	PIMO	Adult	35.65
249.72	241.15	PIMO	Adult	49.36
107.97	217.66	PIMO	Adult	1277.01
289.61	275.54	PIMO	Adult	15.2
266.5	214.06	PIMO	Adult	16.81
174.61	226.36	PIMO	Adult	9.41
235.7	65.05	PIMO	Adult	9.43
149.58	84.51	PIMO	Adult	91.2
107.23	273.36	PIMO	Adult	62.95
135.36	257.48	PIMO	Adult	12.31
155.99	164.74	PIMO	Adult	28.14
76.41	190.57	PIMO	Adult	4.44
131.94	274.98	PIMO	Adult	639.03
287.74	96.11	PIMO	Adult	18.53
189.28	114.15	PIMO	Adult	35.12
285.56	165.03	PIMO	Adult	118.37
58.78	286.84	PIMO	Adult	51.95
279.81	92.63	PIMO	Adult	95.08
60.27	227.33	PIMO	Adult	20.36
207.47	164.94	PIMO	Adult	59.39
124.11	119.19	PIMO	Adult	8.09
93.61	152.64	PIMO	Adult	18.04
134.1	229.26	PIMO	Adult	56.37
146.32	108.42	PIMO	Adult	2.93
106.79	106.19	PIMO	Adult	19.23
211.65	144.15	PIMO	Adult	9.75
293.21	148.3	PIMO	Adult	2.89
90.61	172.24	PIMO	Adult	3.78
17.87	275.09	PIMO	Adult	24.31
288.79	248.92	PIMO	Adult	9.33
149.56	229.56	PIMO	Adult	7.56
110.72	168.11	PIMO	Adult	399.67
106.36	266.35	PIMO	Adult	11.32
122.17	244.69	PIMO	Adult	17.68
207.29	197.44	PIMO	Adult	18.11
172.51	98.05	PIMO	Adult	36.09
74.99	283.88	PIMO	Adult	8.19
247.66	290.18	PIMO	Adult	6.1
36.03	104.12	PIMO	Adult	33.83
220.83	250.89	PIMO	Adult	9.82
115.85	139.74	PIMO	Adult	9.35
280.87	225.21	PIMO	Adult	3.54
109.97	34.42	PIMO	Adult	19.58
230.68	82.68	PIMO	Adult	6.87
138.68	146.18	PIMO	Adult	4.14
170.14	265.95	PIMO	Adult	12.72
197.93	82.03	PIMO	Adult	9.03
257.24	8.02	PIMO	Adult	17.77
171.11	256.85	PIMO	Adult	122.86
246.24	12.99	PIMO	Adult	235.45
217.91	288.02	PIMO	Adult	3.72
221.19	137.38	PIMO	Adult	68.18
15.31	272.46	PIMO	Adult	21.35
180.35	40.42	PIMO	Adult	7.35
290.76	86.39	PIMO	Adult	6.24
253.56	35.93	PIMO	Adult	3.62
153.12	122.32	PIMO	Adult	4.12
285.73	142.91	PIMO	Adult	38.61
193.63	138.34	PIMO	Adult	30.89
109.88	243.3	PIMO	Adult	2.89
116.86	149.93	PIMO	Adult	13.36
206.11	80.8	PIMO	Adult	52.1
190.96	288.63	PIMO	Adult	36.12
76.06	201.81	PIMO	Adult	1.36
214.76	123.84	PIMO	Adult	2.14
105.78	195.72	PIMO	Adult	1.51
60.95	200.07	PIMO	Adult	48.94
260.85	3.83	PIMO	Adult	23.58
32.25	225.7	PIMO	Adult	3.54
264.67	35.07	PIMO	Adult	29.75
3.31	262.68	PIMO	Adult	111.98
209.24	253.53	PIMO	Adult	3.52
227.44	47.13	PIMO	Adult	2.68
220.91	111.62	PIMO	Adult	28.38
179.25	89.87	PIMO	Adult	2.41
228.63	167.88	PIMO	Adult	46.59
137.33	21.81	PIMO	Adult	4.7
232.42	252.27	PIMO	Adult	36.63
5.49	108.09	PIMO	Adult	10.67
252.19	1.7	PIMO	Adult	43.8
207.72	270.57	PIMO	Adult	57.24
276.09	140.51	PIMO	Adult	10.19
124.56	224.1	PIMO	Adult	33.53
133.51	106.55	PIMO	Adult	4.61
183.53	224.03	PIMO	Adult	23.06
150.21	175.16	PIMO	Adult	12.17
27.03	283.04	PIMO	Adult	21.58
207.16	90.84	PIMO	Adult	68.67
207.82	276.46	PIMO	Adult	49.07
293.8	162.44	PIMO	Adult	26
150.57	134.48	PIMO	Adult	1.64
132.75	207.62	PIMO	Adult	7.51
169.67	242.7	PIMO	Adult	156.98
239.82	292.91	PIMO	Adult	3.96
295.66	153.45	PIMO	Adult	233.07
135.96	44.68	PIMO	Adult	17.67
105.29	215.2	PIMO	Adult	33.18
202.69	11.08	PIMO	Adult	5.64
135.45	213.4	PIMO	Adult	32.07
180.13	297.07	PIMO	Adult	10.39
189.99	294.1	PIMO	Adult	3.57
166.83	170.57	PIMO	Adult	8.59
107.4	268.34	PIMO	Adult	61.37
213.91	65.52	PIMO	Adult	84.31
89.96	124.72	PIMO	Adult	84.02
105.2	111.73	PIMO	Adult	6.37
115.78	71.56	PIMO	Adult	54.79
262.52	160.94	PIMO	Adult	70.68
95.1	229.92	PIMO	Adult	35.38
174.03	224.1	PIMO	Adult	8.21
148.1	134.46	PIMO	Adult	31.93
2.39	161.45	PIMO	Adult	68.6
267.47	165.67	PIMO	Adult	40.95
2.46	184.21	PIMO	Adult	30.06
139.66	127.2	PIMO	Adult	22.9
253.01	218.28	PIMO	Adult	21.17
124.07	67.75	PIMO	Adult	7.17
103.38	18.9	PIMO	Adult	169.07
164.48	254.87	PIMO	Adult	2.21
37.31	275.4	PIMO	Adult	10.26
272.74	249.03	PIMO	Adult	187.2
223.46	273.73	PIMO	Adult	4.93
68.67	163.49	PIMO	Adult	16.91
228.75	150.13	PIMO	Adult	51.03
132.75	82.13	PIMO	Adult	48.19
102.53	199.25	PIMO	Adult	75
250.07	291.99	PIMO	Adult	39.19
137.09	251.41	PIMO	Adult	132.65
244.9	247.64	PIMO	Adult	163.33
114.64	43	PIMO	Adult	16.42
199.71	46.57	PIMO	Adult	51.18
48.96	121.44	PIMO	Adult	1.71
185.83	45.92	PIMO	Adult	34.23
228.72	131.81	PIMO	Adult	43.63
48.96	130.04	PIMO	Adult	44.58
94.36	165.06	PIMO	Adult	17.89
208.07	51.25	PIMO	Adult	23.43
209.9	63.89	PIMO	Adult	20.12
148.24	261.93	PIMO	Adult	16.29
152.68	46.8	PIMO	Adult	285.96
147.78	248.59	PIMO	Adult	3.37
120.85	277.85	PIMO	Adult	22.43
197.36	159.99	PIMO	Adult	1.73
228.34	44.71	PIMO	Adult	266.13
103.97	8.41	PIMO	Adult	33.77
43.29	289.04	PIMO	Adult	9.91
108.78	75.18	PIMO	Adult	278.44
154.04	200.27	PIMO	Adult	151.66
211.41	15.55	PIMO	Adult	73.22
206.67	278.79	PIMO	Adult	3.74
93.75	237.22	PIMO	Adult	2.17
69.16	284.33	PIMO	Adult	13.74
77.59	227.48	PIMO	Adult	32.16
252.77	74.95	PIMO	Adult	16.78
123.1	282.18	PIMO	Adult	9.4
168.91	176.57	PIMO	Adult	48.26
8	123.95	PIMO	Adult	55.15
160.43	103.02	PIMO	Adult	17.7
294.33	291.85	PIMO	Adult	10.81
161.69	291.37	PIMO	Adult	24.72
1.69	224.61	PIMO	Adult	7.41
222.83	261.86	PIMO	Adult	50.72
228.34	64.8	PIMO	Adult	14.8
167.98	174.06	PIMO	Adult	100.19
67.07	201.42	PIMO	Adult	267.12
172.48	276.44	PIMO	Adult	0.57
69.53	171.58	PIMO	Adult	23.37
182.75	87.53	PIMO	Adult	49.5
74.04	106.69	PIMO	Adult	32.79
228.36	151.59	PIMO	Adult	73.6
192.09	272.77	PIMO	Adult	25.15
257.04	132.6	PIMO	Adult	64.37
61.33	259.85	PIMO	Adult	1.92
43.01	174.51	PIMO	Adult	22.25
200.01	243.67	PIMO	Adult	103.65
186.72	215.12	PIMO	Adult	357.82
123.28	196.94	PIMO	Adult	52.17
53.83	246.32	PIMO	Adult	15.03
195.38	109.64	PIMO	Adult	204.52
13.24	122.66	PIMO	Adult	2.37
107.04	191.47	PIMO	Adult	12.88
69.36	226.52	PIMO	Adult	7.7
178.05	90.96	PIMO	Adult	6.52
193.89	233.26	PIMO	Adult	9.09
167.49	227.36	PIMO	Adult	17.08
259.83	23.94	PIMO	Adult	9.76
206.25	261.67	PIMO	Adult	38.97
135.83	144.08	PIMO	Adult	7.37
183.42	211.9	PIMO	Adult	6.39
155.14	34.14	PIMO	Adult	101.4
268.97	171.56	PIMO	Adult	16.98
219.4	11.28	PIMO	Adult	21.97
124.15	17.94	PIMO	Adult	5.08
140.67	203.75	PIMO	Adult	108.44
85.59	170.98	PIMO	Adult	210.45
112.19	281.43	PIMO	Adult	6.01
149.5	236.9	PIMO	Adult	125.23
88.68	110.67	PIMO	Adult	2.67
8.16	143.74	PIMO	Adult	38.69
215.89	55.98	PIMO	Adult	28.29
278.04	165.48	PIMO	Adult	308.61
10.13	244.35	PIMO	Adult	70.28
188.97	146.04	PIMO	Adult	17.02
203.18	46.57	PIMO	Adult	53.48
259.1	232.16	PIMO	Adult	38.5
72.36	271.38	PIMO	Adult	12.58
253.87	163.09	PIMO	Adult	11.26
45.57	139.73	PIMO	Adult	4.25
239.12	239.68	PIMO	Adult	6.45
290.39	254.07	PIMO	Adult	12.02
51.49	130.62	PIMO	Adult	15.09
212.42	164.02	PIMO	Adult	49.21
1.83	168.75	PIMO	Adult	8.62
207.67	107.11	PIMO	Adult	7.37
271.9	217.96	PIMO	Adult	29.48
169.22	121.23	PIMO	Adult	3.46
162.26	250.7	PIMO	Adult	25.32
91.6	253.25	PIMO	Adult	10.64
149.63	246.32	PIMO	Adult	94.81
229.03	284.07	PIMO	Adult	5.11
4.7	189.75	PIMO	Adult	95.6
143.25	52.74	PIMO	Adult	18.17
198.31	14.92	PIMO	Adult	67.11
201.93	205.35	PIMO	Adult	17.25
184.71	73.31	PIMO	Adult	1.14
13.88	122.57	PIMO	Adult	59.95
175.17	16.16	PIMO	Adult	8.28
68.9	168.64	PIMO	Adult	41.92
251.92	120.15	PIMO	Adult	3.24
165.8	250.45	PIMO	Adult	290.38
104.95	93.65	PIMO	Adult	223.87
176.87	188.5	PIMO	Adult	402.36
176.86	81.97	PIMO	Adult	7.88
80.33	286.08	PIMO	Adult	24.26
134.8	129.19	PIMO	Adult	27.92
23.44	244.26	PIMO	Adult	826.96
183.28	122.06	PIMO	Adult	44.27
159.66	196.24	PIMO	Adult	37.42
251.41	147.91	PIMO	Adult	22.72
83.6	202.03	PIMO	Adult	92.53
247.43	236.46	PIMO	Adult	121.67
49	22	PIMO	Adult	56.3
32	21	PIMO	Adult	25.8
10	48	PIMO	Adult	159.2
13	48	PIMO	Adult	146.2
17	43	PIMO	Adult	84.1
35	48	PIMO	Adult	46.5
30	33	PIMO	Adult	49
25	26	PIMO	Adult	1.5
51	42	PIMO	Adult	12.9
69	37	PIMO	Adult	123.9
98	28	PIJE	Adult	4.1
94	32	PIJE	Adult	10.4
94	33	PIJE	Adult	6.8
96	36	PIJE	Adult	2.8
21	0	PICO	Adult	3.2
20	3	PICO	Adult	33.4
20	4	PICO	Adult	7.9
17	0	PICO	Adult	1.8
11	5	PIMO	Adult	44.7
13	15	PIMO	Adult	17.5
0	22	PIMO	Adult	6.7
57	72	PIMO	Adult	7
98	57	PIMO	Adult	34
93	59	PIMO	Adult	5.4
26	24	PIMO	Adult	161.1
60	2	ABMA	Adult	1.3
60	12	PIMO	Adult	132.4
56	24	PIMO	Adult	76.8
56	18	PIMO	Adult	1.1
96	18	PICO	Adult	12.3
94	18	PIJE	Adult	11.4
96	25	PIMO	Adult	6.7
83	17	PIMO	Adult	106
77	22	PIMO	Adult	9.9
6	29	PIMO	Adult	19.5
82	33	PIMO	Adult	20.6
83	34	PIMO	Adult	19.8
81	38	PIMO	Adult	12
84	33	PIMO	Adult	2
87	38	PIMO	Adult	10
90	43	PIMO	Adult	9
90	46	PIMO	Adult	9.4
18	50	PIMO	Adult	128.7
16	58	PIMO	Adult	6.2
28	51	PIJE	Adult	4.9
25	69	PIMO	Adult	145.2
24	51	PIMO	Adult	14.1
60	69	PIMO	Adult	43.9
54	61	PIMO	Adult	109.8
9	86	PIMO	Adult	69.5
22	85	PIMO	Adult	92.4
76	38	PIMO	Adult	4.8
81	28	PIMO	Adult	129.5
29	100	PIMO	Adult	49.3
74	68	PIMO	Adult	15
7	86	PIMO	Adult	10
91	95	PIMO	Adult	138.6
25	98	PICO	Adult	21
94	80	PIMO	Adult	6.6
88	101	PIMO	Adult	28.9
